roi_name,accuracy,precision,recall
AngularGyrus,0.47368421052631576,0.2,0.14285714285714285
CentralOpercularCortex,0.6842105263157895,0.5454545454545454,0.8571428571428571
CingulateGyrus-anteriordivision,0.7368421052631579,0.6,0.8571428571428571
CingulateGyrus-posteriordivision,0.5263157894736842,0.4,0.5714285714285714
CunealCortex,0.47368421052631576,0.36363636363636365,0.5714285714285714
FrontalMedialCortex,0.631578947368421,0.5,0.7142857142857143
FrontalOperculumCortex,0.5789473684210527,0.4444444444444444,0.5714285714285714
FrontalOrbitalCortex,0.7368421052631579,0.625,0.7142857142857143
FrontalPole,0.631578947368421,0.5,0.42857142857142855
HeschlsGyrus-includesH1andH2,0.5789473684210527,0.42857142857142855,0.42857142857142855
InferiorFrontalGyrus-parsopercularis,0.5263157894736842,0.375,0.42857142857142855
InferiorFrontalGyrus-parstriangularis,0.631578947368421,0.5,0.5714285714285714
InferiorTemporalGyrus-anteriordivision,0.5263157894736842,0.3333333333333333,0.2857142857142857
InferiorTemporalGyrus-posteriordivision,0.42105263157894735,0.3333333333333333,0.5714285714285714
InferiorTemporalGyrus-temporooccipitalpart,0.5789473684210527,0.4444444444444444,0.5714285714285714
InsularCortex,0.5789473684210527,0.42857142857142855,0.42857142857142855
IntracalcarineCortex,0.5263157894736842,0.3333333333333333,0.2857142857142857
JuxtapositionalLobuleCortex-formerlySupplementaryMotorCortex,0.47368421052631576,0.36363636363636365,0.5714285714285714
LateralOccipitalCortex-inferiordivision,0.42105263157894735,0.25,0.2857142857142857
LateralOccipitalCortex-superiordivision,0.3684210526315789,0.3076923076923077,0.5714285714285714
LingualGyrus,0.5263157894736842,0.375,0.42857142857142855
MiddleFrontalGyrus,0.42105263157894735,0.3333333333333333,0.5714285714285714
MiddleTemporalGyrus-anteriordivision,0.5789473684210527,0.42857142857142855,0.42857142857142855
MiddleTemporalGyrus-posteriordivision,0.5263157894736842,0.4,0.5714285714285714
MiddleTemporalGyrus-temporooccipitalpart,0.47368421052631576,0.2857142857142857,0.2857142857142857
OccipitalFusiformGyrus,0.5789473684210527,0.4444444444444444,0.5714285714285714
OccipitalPole,0.47368421052631576,0.38461538461538464,0.7142857142857143
ParacingulateGyrus,0.5789473684210527,0.4444444444444444,0.5714285714285714
ParahippocampalGyrus-anteriordivision,0.5263157894736842,0.3333333333333333,0.2857142857142857
ParahippocampalGyrus-posteriordivision,0.5263157894736842,0.4166666666666667,0.7142857142857143
ParietalOperculumCortex,0.3684210526315789,0.2727272727272727,0.42857142857142855
PlanumPolare,0.5263157894736842,0.375,0.42857142857142855
PlanumTemporale,0.5263157894736842,0.4,0.5714285714285714
PostcentralGyrus,0.6842105263157895,0.5714285714285714,0.5714285714285714
PrecentralGyrus,0.5263157894736842,0.4,0.5714285714285714
PrecuneousCortex,0.5263157894736842,0.375,0.42857142857142855
SubcallosalCortex,0.7368421052631579,0.625,0.7142857142857143
SuperiorFrontalGyrus,0.5263157894736842,0.4,0.5714285714285714
SuperiorParietalLobule,0.42105263157894735,0.3,0.42857142857142855
SuperiorTemporalGyrus-anteriordivision,0.47368421052631576,0.2,0.14285714285714285
SuperiorTemporalGyrus-posteriordivision,0.6842105263157895,0.5454545454545454,0.8571428571428571
SupracalcarineCortex,0.3684210526315789,0.14285714285714285,0.14285714285714285
SupramarginalGyrus-anteriordivision,0.3684210526315789,0.2222222222222222,0.2857142857142857
SupramarginalGyrus-posteriordivision,0.42105263157894735,0.3,0.42857142857142855
TemporalFusiformCortex-anteriordivision,0.631578947368421,0.5,0.5714285714285714
TemporalFusiformCortex-posteriordivision,0.5263157894736842,0.4,0.5714285714285714
TemporalOccipitalFusiformCortex,0.47368421052631576,0.36363636363636365,0.5714285714285714
TemporalPole,0.631578947368421,0.5,0.5714285714285714
