ID,roi_name,accuracy,precision,recall
1,ParacingulateGyrus,0.785714286,0.666666667,1
2,CingulateGyrus,0.714285714,0.555555556,1
3,PrecuneousCortex,0.714285714,0.666666667,0.4
4,JuxtapositionalLobuleCortex,0.642857143,0.571428571,0.666666667
5,OccipitalPole,0.642857143,0.5,0.2
6,PlanumPolare,0.642857143,0.571428571,0.666666667
7,PrecentralGyrus,0.642857143,0.625,0.714285714
8,SuperiorFrontalGyrus,0.642857143,0.75,0.428571429
9,CunealCortex,0.571428571,1,0.142857143
10,FrontalOrbitalCortex,0.571428571,0.4,0.4
11,InsularCortex,0.571428571,0.5,0.5
12,IntracalcarineCortex,0.571428571,0.6,0.428571429
13,LateralOccipitalCortex-inferiordivision,0.571428571,0.5,0.333333333
14,MiddleTemporalGyrus-anteriordivision,0.571428571,0.666666667,0.5
15,ParietalOperculumCortex,0.571428571,0.555555556,0.714285714
16,SuperiorTemporalGyrus-anteriordivision,0.571428571,0.833333333,0.5
17,SuperiorTemporalGyrus-posteriordivision,0.571428571,0.666666667,0.5
18,TemporalFusiformCortex-anteriordivision,0.571428571,0.428571429,0.6
19,TemporalPole,0.571428571,0.25,0.25
20,CentralOpercularCortex,0.5,0.2,0.25
21,FrontalPole,0.5,0.5,0.428571429
22,InferiorFrontalGyrus-parsopercularis,0.5,0.4,0.333333333
23,MiddleFrontalGyrus,0.5,0.5,0.571428571
24,OccipitalFusiformGyrus,0.5,0,0
25,ParahippocampalGyrus-posteriordivision,0.5,0.285714286,0.5
26,PlanumTemporale,0.5,0.6,0.375
27,PostcentralGyrus,0.5,0.333333333,0.4
28,SupramarginalGyrus-posteriordivision,0.5,0.166666667,0.333333333
29,AngularGyrus,0.428571429,0,0
30,CingulateGyrus-posteriordivision,0.428571429,0.428571429,0.428571429
31,InferiorFrontalGyrus-parstriangularis,0.428571429,0.571428571,0.444444444
32,ParahippocampalGyrus-anteriordivision,0.428571429,0.285714286,0.4
33,SubcallosalCortex,0.428571429,0.25,0.5
34,TemporalFusiformCortex-posteriordivision,0.428571429,0.5,0.25
35,HeschlsGyrus-includesH1andH2,0.357142857,0.2,0.166666667
36,InferiorTemporalGyrus-temporooccipitalpart,0.357142857,0.333333333,0.125
37,MiddleTemporalGyrus-posteriordivision,0.357142857,1,0.1
38,MiddleTemporalGyrus-temporooccipitalpart,0.357142857,0,0
39,SupracalcarineCortex,0.357142857,0.333333333,0.285714286
40,FrontalMedialCortex,0.285714286,0,0
41,FrontalOperculumCortex,0.285714286,0.25,0.125
42,LateralOccipitalCortex-superiordivision,0.285714286,0.285714286,0.285714286
43,SuperiorParietalLobule,0.285714286,0.2,0.142857143
44,TemporalOccipitalFusiformCortex,0.285714286,0.25,0.125
45,InferiorTemporalGyrus-anteriordivision,0.214285714,0.083333333,1
46,InferiorTemporalGyrus-posteriordivision,0.214285714,0,0
47,SupramarginalGyrus-anteriordivision,0.214285714,0.2,0.125
48,LingualGyrus,0.071428571,0,0
